Fips,County name,2023 Typology,Total ,Biden ,Trump
01001,"Autauga County, Alabama",Working Class Country,27770,7503,19838
01003,"Baldwin County, Alabama",Rural Middle America,109679,24578,83544
01005,"Barbour County, Alabama",African American South,10518,4816,5622
01007,"Bibb County, Alabama",Evangelical Hubs,9595,1986,7525
01009,"Blount County, Alabama",Evangelical Hubs,27588,2640,24711
01011,"Bullock County, Alabama",African American South,4613,3446,1146
01013,"Butler County, Alabama",African American South,9488,3965,5458
01015,"Calhoun County, Alabama",Working Class Country,50983,15216,35101
01017,"Chambers County, Alabama",African American South,15284,6365,8753
01019,"Cherokee County, Alabama",Evangelical Hubs,12301,1624,10583
01021,"Chilton County, Alabama",Evangelical Hubs,19310,3073,16085
01023,"Choctaw County, Alabama",African American South,7464,3127,4296
01025,"Clarke County, Alabama",African American South,13135,5755,7324
01027,"Clay County, Alabama",Evangelical Hubs,6930,1267,5601
01029,"Cleburne County, Alabama",Evangelical Hubs,7227,675,6484
01031,"Coffee County, Alabama",Military Posts,22275,5076,16899
01033,"Colbert County, Alabama",Working Class Country,27886,8343,19203
01035,"Conecuh County, Alabama",African American South,6441,2966,3442
01037,"Coosa County, Alabama",Evangelical Hubs,5479,1796,3631
01039,"Covington County, Alabama",Evangelical Hubs,17430,2721,14586
01041,"Crenshaw County, Alabama",Evangelical Hubs,6617,1700,4864
01043,"Cullman County, Alabama",Evangelical Hubs,41851,4478,36880
01045,"Dale County, Alabama",Military Posts,19738,5170,14303
01047,"Dallas County, Alabama",African American South,17864,12230,5524
01049,"DeKalb County, Alabama",Evangelical Hubs,29356,4281,24767
01051,"Elmore County, Alabama",Evangelical Hubs,41030,10367,30164
01053,"Escambia County, Alabama",African American South,15910,4918,10869
01055,"Etowah County, Alabama",Evangelical Hubs,47728,11567,35528
01057,"Fayette County, Alabama",Evangelical Hubs,8766,1395,7300
01059,"Franklin County, Alabama",Evangelical Hubs,12578,2086,10376
01061,"Geneva County, Alabama",Evangelical Hubs,12545,1595,10848
01063,"Greene County, Alabama",African American South,4775,3884,875
01065,"Hale County, Alabama",African American South,7900,4663,3192
01067,"Henry County, Alabama",Working Class Country,9298,2606,6607
01069,"Houston County, Alabama",Working Class Country,46173,12917,32618
01071,"Jackson County, Alabama",Evangelical Hubs,23636,3717,19670
01073,"Jefferson County, Alabama",African American South,325848,181688,138843
01075,"Lamar County, Alabama",Evangelical Hubs,7193,978,6174
01077,"Lauderdale County, Alabama",Working Class Country,44339,11915,31721
01079,"Lawrence County, Alabama",Evangelical Hubs,16031,3562,12322
01081,"Lee County, Alabama",College Towns,71449,27860,42221
01083,"Limestone County, Alabama",Evangelical Hubs,49235,13672,34640
01085,"Lowndes County, Alabama",African American South,6835,4972,1836
01087,"Macon County, Alabama",African American South,8723,7108,1541
01089,"Madison County, Alabama",College Towns,194767,87286,102780
01091,"Marengo County, Alabama",African American South,10900,5488,5343
01093,"Marion County, Alabama",Evangelical Hubs,13807,1463,12205
01095,"Marshall County, Alabama",Evangelical Hubs,39655,5943,33191
01097,"Mobile County, Alabama",African American South,183164,79474,101243
01099,"Monroe County, Alabama",African American South,10668,4455,6147
01101,"Montgomery County, Alabama",African American South,99139,64529,33311
01103,"Morgan County, Alabama",Working Class Country,53722,13234,39664
01105,"Perry County, Alabama",African American South,5230,3860,1339
01107,"Pickens County, Alabama",African American South,9668,4022,5594
01109,"Pike County, Alabama",African American South,13841,5636,8042
01111,"Randolph County, Alabama",Evangelical Hubs,10837,2203,8559
01113,"Russell County, Alabama",African American South,21329,11228,9864
01115,"St. Clair County, Alabama",Evangelical Hubs,44441,7744,36166
01117,"Shelby County, Alabama",Exurbs,114950,33268,79700
01119,"Sumter County, Alabama",African American South,6291,4648,1598
01121,"Talladega County, Alabama",African American South,35663,13138,22235
01123,"Tallapoosa County, Alabama",Working Class Country,20991,5859,14963
01125,"Tuscaloosa County, Alabama",College Towns,90172,37765,51117
01127,"Walker County, Alabama",Evangelical Hubs,31170,4834,26002
01129,"Washington County, Alabama",Evangelical Hubs,8876,2258,6564
01131,"Wilcox County, Alabama",African American South,5903,4048,1833
01133,"Winston County, Alabama",Evangelical Hubs,11284,974,10195
04001,"Apache County, Arizona",Native American Lands,35268,23293,11442
04003,"Cochise County, Arizona",Military Posts,60665,23732,35557
04005,"Coconino County, Arizona",College Towns,73632,44698,27052
04007,"Gila County, Arizona",Graying America,27735,8943,18377
04009,"Graham County, Arizona",Native American Lands,15029,4034,10749
04011,"Greenlee County, Arizona",Hispanic Centers,3696,1182,2433
04012,"La Paz County, Arizona",Graying America,7472,2236,5129
04013,"Maricopa County, Arizona",Big Cities,2076086,1040774,995665
04015,"Mohave County, Arizona",Graying America,104883,24831,78535
04017,"Navajo County, Arizona",Native American Lands,51930,23383,27657
04019,"Pima County, Arizona",Big Cities,522174,304981,207758
04021,"Pinal County, Arizona",Exurbs,185525,75106,107077
04023,"Santa Cruz County, Arizona",Hispanic Centers,19581,13138,6194
04025,"Yavapai County, Arizona",Graying America,143640,49602,91527
04027,"Yuma County, Arizona",Hispanic Centers,70072,32210,36534
05001,"Arkansas County, Arkansas",Working Class Country,6292,1818,4304
05003,"Ashley County, Arkansas",Evangelical Hubs,7926,2125,5548
05005,"Baxter County, Arkansas",Graying America,21007,4635,15836
